Total electoral votes,Name of candidate,CT,DE,GA,MD,MA,NH,NJ,PA,SC,VA
69,"George Washington, Esq",7,3,5,6,10,5,6,10,7,10
34,"John Adams, Esq",5,-,-,-,10,5,1,8,-,5
2,"Samuel Huntington, Esq",2,-,-,-,-,-,-,-,-,-
9,"John Jay, Esq",-,3,-,-,-,-,5,-,-,1
4,"John Hancock, Esq",-,-,-,-,-,-,-,2,1,1
6,"Robert H. Harrison, Esq",-,-,-,6,-,-,-,-,-,-
3,"George Clinton, Esq",-,-,-,-,-,-,-,-,-,3
6,"John Rutledge, Esq",-,-,-,-,-,-,-,-,6,-
2,"John Milton, Esq",-,-,2,-,-,-,-,-,-,-
1,"James Armstrong, Esq",-,-,1,-,-,-,-,-,-,-
1,"Edward Telfair, Esq",-,-,1,-,-,-,-,-,-,-
1,"Benjamin Lincoln, Esq",-,-,1,-,-,-,-,-,-,-
,Total electoral vote by state,7,3,5,6,10,5,6,10,7,10
