State Abbreviation,State,Andrew Jackson Electoral Votes,Henry Clay Electoral Votes,William Wirt Electoral Votes,Andrew Jackson Popular Votes,Andrew Jackson Percent,Henry Clay Popular Votes,Henry Clay Percent,William Wirt Popular Votes,William Wirt Percent
AL,Alabama,7,,,14286,100.0,5,0.0,,
CT,Connecticut,,8,,11269,34.3,18155,55.3,3409,10.4
DE,Delaware,,3,,4110,49.0,4276,51.0,,
GA,Georgia,11,,,20750,100.0,,,,
IL,Illinois,5,,,14609,68.0,6745,31.4,97,0.5
IN,Indiana,9,,,31652,55.4,25473,44.6,27,0.0
KY,Kentucky,,15,,36292,45.5,43449,54.5,,
LA,Louisiana,5,,,3908,61.7,2429,38.3,,
ME,Maine,10,,,33978,54.7,27331,44.0,844,1.4
MD,Maryland,3,5,,19156,50.0,19160,50.0,,
MA,Massachusetts,,14,,13933,20.6,31963,47.3,14692,21.7
MS,Mississippi,4,,,5750,100.0,,,,
MO,Missouri,4,,,5192,100.0,,,,
NH,New Hampshire,7,,,24855,56.8,18938,43.2,,
NJ,New Jersey,8,,,23826,49.9,23466,49.1,468,1.0
NY,New York,42,,,168497,52.1,154896,47.9,,
NC,North Carolina,15,,,25261,84.8,4538,15.2,,
OH,Ohio,21,,,81246,51.3,76566,48.4,538,0.3
PA,Pennsylvania,30,,,90973,57.7,,,66706,42.3
RI,Rhode Island,,4,,2051,35.7,2871,50.0,819,14.3
SC,South Carolina*,--,--,--,--,--,--,--,--,--
TN,Tennessee,15,,,28078,95.4,1347,4.6,,
VT,Vermont,,,7,7865,24.3,11161,34.5,13112,40.5
VA,Virginia,23,,,34243,75.0,11436,25.0,3,0.0
